application_id,student_id,student_name,scheme,applied_date,documents_status,stage,sanctioned_amount,disbursed_date,needs_attention
APP067,STU067,Ganesh M,Merit Scholarship,2026-05-26,Complete,Disbursed,55000.0,2026-07-15,no
APP068,STU068,Anjali P,State Scholarship,2026-05-28,Pending,Document Collection,0.0,,yes
APP069,STU069,Suresh Babu,State Scholarship,2026-05-30,Complete,Verification,0.0,,yes
APP070,STU070,Meghana S,Merit Scholarship,2026-06-01,Complete,Sanctioned,50000.0,,yes
APP071,STU071,Rajesh Kumar,Merit Scholarship,2026-06-03,Complete,Disbursed,65000.0,2026-07-18,no
APP072,STU072,Swetha M,State Scholarship,2026-06-05,Incomplete,Document Collection,0.0,,yes
APP073,STU073,Varun R,State Scholarship,2026-06-07,Complete,Verification,0.0,,yes
APP074,STU074,Pooja S,Merit Scholarship,2026-06-09,Complete,Sanctioned,45000.0,,yes
APP075,STU075,Arun Prakash,Merit Scholarship,2026-06-11,Complete,Disbursed,50000.0,2026-07-20,no
APP076,STU076,Nandhini K,State Scholarship,2026-06-13,Pending,Document Collection,0.0,,yes
APP077,STU077,Surendran R,State Scholarship,2026-06-15,Complete,Verification,0.0,,yes
APP078,STU078,Anitha S,Merit Scholarship,2026-06-17,Complete,Sanctioned,55000.0,,yes
APP079,STU079,Krishna Kumar,Merit Scholarship,2026-06-19,Complete,Disbursed,40000.0,2026-07-20,no
APP080,STU080,Shivani R,State Scholarship,2026-06-21,Incomplete,Document Collection,0.0,,yes
APP081,STU081,Prakash M,State Scholarship,2026-06-23,Complete,Verification,0.0,,yes
APP082,STU082,Reshma P,Merit Scholarship,2026-06-25,Complete,Sanctioned,60000.0,,yes
APP083,STU083,Varsha S,Merit Scholarship,2026-06-27,Complete,Disbursed,45000.0,2026-07-20,no
APP084,STU084,Kishore K,State Scholarship,2026-06-29,Pending,Document Collection,0.0,,yes
APP085,STU085,Meena R,State Scholarship,2026-07-01,Complete,Verification,0.0,,yes
APP086,STU086,Rajiv Kumar,Merit Scholarship,2026-07-03,Complete,Sanctioned,50000.0,,yes
APP087,STU087,Swetha Priya,Merit Scholarship,2026-07-05,Complete,Disbursed,55000.0,2026-07-20,no
APP088,STU088,Vijay S,State Scholarship,2026-07-07,Incomplete,Document Collection,0.0,,yes
APP089,STU089,Harini R,State Scholarship,2026-07-09,Complete,Verification,0.0,,yes
APP090,STU090,Anand Kumar,Merit Scholarship,2026-07-11,Complete,Sanctioned,65000.0,,yes
APP091,STU091,Divya S,Merit Scholarship,2026-07-13,Complete,Disbursed,50000.0,2026-07-20,no
APP092,STU092,Ramesh K,State Scholarship,2026-07-14,Pending,Document Collection,0.0,,yes
APP093,STU093,Anu Priya,State Scholarship,2026-07-15,Complete,Verification,0.0,,yes
APP094,STU094,Karthika R,Merit Scholarship,2026-07-16,Complete,Sanctioned,45000.0,,yes
APP095,STU095,Mohan S,Merit Scholarship,2026-07-17,Complete,Disbursed,60000.0,2026-07-20,no
APP096,STU096,Pavithra M,State Scholarship,2026-07-18,Incomplete,Document Collection,0.0,,yes
APP097,STU097,Sathish Kumar,State Scholarship,2026-07-19,Complete,Verification,0.0,,yes
APP098,STU098,Shobana R,Merit Scholarship,2026-07-20,Complete,Sanctioned,55000.0,,yes
APP099,STU099,Arunima S,State Scholarship,2026-01-10,Complete,Verification,0.0,,yes
APP100,STU100,Ananya,Merit Scholarship,2026-02-10,Complete,Document Collection,0.0,,yes
APP101,STU101,Ananya,Merit Scholarship,2026-07-13,Complete,Document Collection,50000.0,,yes
APP102,STU102,Shiva,Merit Scholarship,2026-07-25,Complete,Sanctioned,50000.0,,yes
APP103,STU103,Prithwin,Merit Scholarship,2026-07-25,Complete,Sanctioned,50000.0,,yes
